Place id,Governorate,District,"Location name
in English","Location name
in Arabic ",Latitude,Longitude,Households,Individuals,Host Families,Hotel/Motel,Rented houses,Habitual residnece (Habitable),Habitual residence (Uninhabitable),Informal settlements,"Unfinished/
Abandoned building",Non-residential structure,Religious Building,School Building,Other formal settlements/ collective centres,Other shelters,Unknown shelter type,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salah al-Din,Sulaymaniyah,Thi-Qar,Wassit,Pre-June14 Period,June-July14 Period,August14 Period,Post September14 Period,Post April15 Period,Post Mar16 Period,Post 17 October 16 Period,17-Jul,19-Jan,20-Jan,Open Street Map,Google Map,Bing Map
33254,Ninewa,Mosul,Msherfa 1,مشيرفة 1,36.37850354,43.07761541,915,5490.00,,,,"5,484",,6,,,,,,,,,,,,12,,,,,,,,"5,478",,,,,,,,,,,,"5,490",,,,Maplink1,Maplink2,Maplink3
33270,Ninewa,Mosul,Iskan smint Factory Village,قرية اسكان معمل الاسمنت,36.4344858,42.9371288,224,1344.00,,,,"1,284",60,,,,,,,,,,,,,,,,,,,,,"1,344",,,,,,,,,,,,,"1,344",,,Maplink1,Maplink2,Maplink3
22441,Ninewa,Mosul,Kharab Dalil Village,قرية خرابة دليل,36.418186,43.418548,27,162.00,,,,162,,,,,,,,,,,,,,,,84,,,,,,78,,,,,,,,162,,,,,,,,Maplink1,Maplink2,Maplink3
33514,Ninewa,Mosul,Tal drwesh Village,قرية تل درويش,36.161782,42.89859365,38,228.00,,,,186,42,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,228,,,,Maplink1,Maplink2,Maplink3
33260,Ninewa,Mosul,Al-Iqtisadieen,حي الاقتصاديين,36.361843,43.08881905,710,4260.00,,,,"4,260",,,,,,,,,,,,,,,,,,,,,,"4,260",,,,,,,,,,,,"4,260",,,,Maplink1,Maplink2,Maplink3
17825,Ninewa,Mosul,Om al sejan Village,قرية ام الصيجان,36.193374,42.952928,51,306.00,,,,246,60,,,,,,,,,,,,,,,,,,,,,306,,,,,,,,,,,,306,,,,Maplink1,Maplink2,Maplink3
33709,Ninewa,Mosul,AL-Damrche Alkabir Village,قرية الدامرجي الكبير,36.367625,42.97798969,84,504.00,,,,426,78,,,,,,,,,,,,,,,,,,,,,504,,,,,,,,,,,,504,,,,Maplink1,Maplink2,Maplink3
34102,Ninewa,Mosul,Eajbah village,قرية عجبة ,35.771545,43.182398,10,60.00,,,,60,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,60,,,,Maplink1,Maplink2,Maplink3
31947,Ninewa,Mosul,Al-Mohebdy Village,قرية المعيبدي,36.18878408,43.12006178,50,300.00,,,,300,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,300,,,,Maplink1,Maplink2,Maplink3
33198,Ninewa,Mosul,Tofaha Sharqiya Village,قرية تفاحة شرقية,35.997966,42.78118,40,240.00,,,,240,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,240,,,,,Maplink1,Maplink2,Maplink3
33256,Ninewa,Mosul,Al-Oraybi,حي العريبي,36.3561411,43.08764236,"1,660",9960.00,,,,"9,960",,,,,,,,,,,,,,,,,,,,,,"9,960",,,,,,,,,,,,"9,960",,,,Maplink1,Maplink2,Maplink3
18386,Ninewa,Mosul,Al-Mayasa,المياسا,36.338903,43.123482,229,1374.00,,,,894,480,,,,,,,,,,,,,,,,,,,,,"1,374",,,,,,,,,,,,"1,374",,,,Maplink1,Maplink2,Maplink3
33263,Ninewa,Mosul,Bab Albeeth,باب البيض,36.335688,43.12519354,463,2778.00,,,96,"2,502",180,,,,,,,,,,,,,,,,,,,,,"2,778",,,,,,,,,,,,"2,778",,,,Maplink1,Maplink2,Maplink3
18306,Ninewa,Mosul,Hay Al Arabi,حي العربي,36.40106036,43.11744014,138,828.00,,,,828,,,,,,,,,,,,168,,156,,276,18,,,,,204,,,6,,,,624,,,,,204,,,,Maplink1,Maplink2,Maplink3
32051,Ninewa,Mosul,Ablah Village,قرية عبلة,36.184135,43.03707227,25,150.00,,,,132,18,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,150,,,,Maplink1,Maplink2,Maplink3
18416,Ninewa,Mosul,Al-Salam Village,قرية السلام,36.439422,42.76439302,52,312.00,,,,180,132,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,,,,312,,,Maplink1,Maplink2,Maplink3
21335,Ninewa,Mosul,Al-Sihha,حي الصحة,36.3482788,43.10224001,"1,199",7194.00,,,,"7,194",,,,,,,,,,,,,,,,,,,,,,"7,194",,,,,,,,,,,,"7,194",,,,Maplink1,Maplink2,Maplink3
33461,Ninewa,Mosul,Al-Dubaat,الضباط,36.34039,43.15384183,96,576.00,,,,576,,,,,,,,,,,,108,,174,,180,,,,,,114,,,,,,,462,,,,,114,,,,Maplink1,Maplink2,Maplink3
17506,Ninewa,Mosul,Al mangoba al kadema Village,قرية المنكوبة القديمة,35.912693,43.31430198,150,900.00,,,,900,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,900,,,,Maplink1,Maplink2,Maplink3
24617,Ninewa,Mosul,Al Sahiroon,الساهرون,36.3020506,43.2049866,30,180.00,,,,180,,,,,,,,,,,,,,42,,54,,12,,,,72,,,,,,,108,,,,,72,,,,Maplink1,Maplink2,Maplink3
25741,Ninewa,Mosul,Aldernaj,الدرناج,36.30856698,42.92346989,109,654.00,,,,492,162,,,,,,,,,,,,,,,,,,,,,654,,,,,,,,,,,,654,,,,Maplink1,Maplink2,Maplink3
18313,Ninewa,Mosul,Hay Al Islah Al Zirai,حي الاصلاح الزراعي,36.35024315,43.08515874,"7,196",43176.00,,,,"43,170",6,,,,,,,,,,,,,,,,,,,,,"43,176",,,,,,,,,,,,"43,176",,,,Maplink1,Maplink2,Maplink3
29663,Ninewa,Mosul,AL-Jadah Village,قرية الجدعة,35.746665,43.28247515,160,960.00,,,,960,,,,,,,,,,,,,,,,960,,,,,,,,,,,,,,,,,960,,,,,Maplink1,Maplink2,Maplink3
31733,Ninewa,Mosul,Tal-Alshouk Village,قرية تل الشوك,35.92522426,43.32019532,240,1440.00,,,,"1,440",,,,,,,,,,,,,,,,,,,,,,"1,440",,,,,,,,,,,,"1,440",,,,Maplink1,Maplink2,Maplink3
31921,Ninewa,Mosul,AL-Refaq,حي الرفاق,36.37700444,43.16810432,550,3300.00,,,,"3,300",,,,,,,,,,,,54,,150,,234,,,,,,"2,862",,,,,,,438,,,,,"2,862",,,,Maplink1,Maplink2,Maplink3
34182,Ninewa,Mosul,Door Al-Ttaqa village ,قرية دور الطاقة ,36.060462,43.288918,33,198.00,,,,198,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,198,,,,Maplink1,Maplink2,Maplink3
34183,Ninewa,Mosul,Al-freeh village,قرية الفريح,36.027831,43.311786,9,54.00,,,,54,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,54,,,,,,,,Maplink1,Maplink2,Maplink3
18346,Ninewa,Mosul,Al-Maamon,المامون,36.30882013,43.10854328,"2,946",17676.00,,,,"17,538",138,,,,,,,,,,,,,,,,,,,,,"17,676",,,,,,,,,,,,"17,676",,,,Maplink1,Maplink2,Maplink3
22542,Ninewa,Mosul,Qaryat Beer Hillan,بير حلان,36.41577176,43.40106227,43,258.00,,,,258,,,,,,,,,,,,,,,,30,,96,,,,132,,,,,,,,258,,,,,,,,Maplink1,Maplink2,Maplink3
18376,Ninewa,Mosul,Kokjali,كوكجلي,36.35891358,43.2531553,"1,575",9450.00,,,,"9,450",,,,,,,,,,,18,18,,,,"3,270",,,,,,"6,000",,,120,,24,,,"4,950",,,,"4,500",,,,Maplink1,Maplink2,Maplink3
31769,Ninewa,Mosul,Al-Nawaran,النوران,36.53854,43.23614707,190,1140.00,,,,"1,140",,,,,,,,,,,,,,570,,252,,,,,,318,,,,,,,,"1,140",,,,,,,,Maplink1,Maplink2,Maplink3
33205,Ninewa,Mosul,Al-Asbieh Village,قرية الاصيبح,36.027617,42.72917023,257,1542.00,,,,"1,242",300,,,,,,,,,,,,,,,,,,,,,"1,542",,,,,,,,,,,,"1,542",,,,Maplink1,Maplink2,Maplink3
33602,Ninewa,Mosul,Al hota Village,قرية الهوتة,36.188865,42.87323622,20,120.00,,,,108,12,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,120,,,,Maplink1,Maplink2,Maplink3
33489,Ninewa,Mosul,Wade al mor Village,قرية وادي المر,35.69354,43.2596683,85,510.00,,,,510,,,,,,,,,,,,,,,,,,60,,,,312,,138,,,,,,,,,,510,,,,Maplink1,Maplink2,Maplink3
33699,Ninewa,Mosul,Al-salmani Village,قرية السلماني,36.153944,43.02504096,30,180.00,,,,180,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,180,,,,Maplink1,Maplink2,Maplink3
33787,Ninewa,Mosul,Dawizat fawqani,قرية ادويزات فوقاني,35.95026,43.351751,143,858.00,,,,858,,,,,,,,,,,,,,,,858,,,,,,,,,,,,,,,858,,,,,,,Maplink1,Maplink2,Maplink3
31914,Ninewa,Mosul,Arbajiyah,اربجية,36.37359676,43.20206081,"1,010",6060.00,,,,"6,060",,,,,,,,,,,,84,,60,,84,,,,,,"5,832",,,,,,,228,,,,,"5,832",,,,Maplink1,Maplink2,Maplink3
33264,Ninewa,Mosul,Al-Matahin,المطاحن,36.3376,43.090116,876,5256.00,,,,"5,256",,,,,,,,,,,,,,,,,,,,,,"5,256",,,,,,,,,,,,"5,256",,,,Maplink1,Maplink2,Maplink3
33374,Ninewa,Mosul,Hay-Karkukli,حي كركوكلي,36.36553,43.20837305,716,4296.00,,,,"4,296",,,,,,,,,,,,18,,66,,192,,,,,,"4,020",,,,,,,276,,,,,"4,020",,,,Maplink1,Maplink2,Maplink3
33776,Ninewa,Mosul,alnazaza,قرية االنزازة ,35.990663,43.141098,12,72.00,,,,72,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,72,,,,Maplink1,Maplink2,Maplink3
17435,Ninewa,Mosul,AL-Adbah village,قرية العذبة ,36.228329,43.106435,40,240.00,,,,240,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,240,,,,Maplink1,Maplink2,Maplink3
34184,Ninewa,Mosul,Sijmah village,قرية صجمة,36.009981,43.043209,30,180.00,,,,180,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,180,,,,Maplink1,Maplink2,Maplink3
24636,Ninewa,Mosul,Hay 30 July,حي 30 تموز,36.3731057,43.08078927,921,5526.00,,,,"5,526",,,,,,,,,,,,150,,222,,162,,,,,,"4,992",,,,,,,534,,,,,"4,992",,,,Maplink1,Maplink2,Maplink3
21336,Ninewa,Mosul,HAY-SUMMER,حي سومر,36.29892135,43.19245944,258,1548.00,,,,"1,548",,,,,,,,,,,,78,,174,,168,,18,,,,"1,110",,,,,,,438,,,,,"1,110",,,,Maplink1,Maplink2,Maplink3
25813,Ninewa,Mosul,Maghara,مغارة,36.49313705,43.42405378,38,228.00,,,,228,,,,,,,,,,,,,,198,,30,,,,,,,,,,,,,,228,,,,,,,,Maplink1,Maplink2,Maplink3
20796,Ninewa,Mosul,Bysan,بيسان,36.40851964,43.10461601,131,786.00,,,,786,,,,,,,,,,,,210,,156,,240,,,,,,180,,,,,,,606,,,,,180,,,,Maplink1,Maplink2,Maplink3
17744,Ninewa,Mosul,Al-Ausaja Village,قرية العوسجة,35.77499202,43.30810983,130,780.00,,,,750,30,,,,,,,,,,,,,,,672,,108,,,,,,,,,,,,72,,108,,600,,,,Maplink1,Maplink2,Maplink3
31701,Ninewa,Mosul,Safina village,قرية السفينة,35.98043086,43.34202273,450,2700.00,,,,"2,640",60,,,,,,,,,,,,,,,,,,,,,"2,700",,,,,,,,,,,,"2,700",,,,Maplink1,Maplink2,Maplink3
18401,Ninewa,Mosul,Al-eakedat,حي العكيدات,36.33053626,43.12812137,"1,410",8460.00,,,,"8,460",,,,,,,,,,,,,,6,,,,,,,,"8,454",,,,,,,,,,,,"8,460",,,,Maplink1,Maplink2,Maplink3
17445,Ninewa,Mosul,Om ahjaraa sfla village,ام احجارة سفلى,36.10441,42.63778302,20,120.00,,,,108,12,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,120,,,,Maplink1,Maplink2,Maplink3
33271,Ninewa,Mosul,Al hoedir village,قرية الحويدر,36.4344198,42.94901208,385,2310.00,,,,"2,244",66,,,,,,,,,,,,,,,,,,,,,"2,310",,,,,,,,,,,,,"2,310",,,Maplink1,Maplink2,Maplink3
33493,Ninewa,Mosul,Naboaa Sfla Village,قرية نبوعة سفلى,35.833155,43.16314196,11,66.00,,,,66,,,,,,,,,,,,24,,,,,,,,,,42,,,,,,,,,,,66,,,,,Maplink1,Maplink2,Maplink3
17430,Ninewa,Mosul,Bakhira village,قرية باخيرة,36.214605,43.040875,106,636.00,,,,636,,,,,,,,,,,,,,,,,,,,,,636,,,,,,,,,,,,636,,,,Maplink1,Maplink2,Maplink3
24550,Ninewa,Mosul,Al-Methaq,الميثاق,36.32970021,43.19590165,108,648.00,,,,648,,,,,,,,,,,,138,,90,,204,,,,,,216,,,,,,,432,,,,,216,,,,Maplink1,Maplink2,Maplink3
